(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
0	A (RE)PRODUÇÃO DO ESPAÇO URBANO DE SÃO JOÃO DEL REI E SUA IMPORTÂNCIA COMO PÓLO REGIONAL DA MESORREGIÃO DO CAMPO DAS VERTENTES	Bruno Henrique dos Santos;  Denise Natalia Carmo dos Santos	Textual	Artigo	digital	Geografia	expansão urbana; uso do solo; (re)produção do espaço; espaço urbano.	2014	Alfenas (UNIFAL)	Aborda a investigação das transformações ocorridas no espaço urbano de São João Del Rei – MG durante o longo dos seus trezentos anos de história. No decorrer do trabalho procuramos identificar e classificar o uso do solo urbano, os problemas para a região e os agentes sociais que comandam esse processo	Lígia Maria Brochado de Aguiar	séc. XVIII - 2016	São João del-Rei	-	https://drive.google.com/file/d/1DnNf5jobiE4ReiUfxC_EJxGKuSVmaxcz/view?usp=sharing
1	A ANTROPOTOPONÍMIA DO CENTRO HISTÓRICO DE SÃO JOÃO DEL-REI – MG DO SÉC. XVIII AO SÉC. XXI	Celso Reis Macedo; Maria Cândida Trindade Costa de Seabra 	Textual	Artigo	Digital	 Lingua Portuguesa	léxico; antropotoponímia; variação; São João del-Rei	2019	Salvador (UFBA)	Apresenta-se possíveis motivadores da mudança dos antropotopônimos a que se submeteram, ao longo de trezentos anos, algumas ruas da cidade.	-	SÉC. XVIII - SÉC. XXI	São João del- Rei	Centro	https://drive.google.com/file/d/1kWvYcho3qMOE-MiccpN_48Cgo-b8DI2M/view?usp=sharing
2	A BUSCA DE DIFERENTES FAMÍLIAS POR UMA ESCOLA PÚBLICA PARA OS FILHOS: O CASO DA ESCOLA ESTADUAL AURELIANO PIMENTEL EM SÃO JOÃO DEL-REI	Jacqueline Sade Tayer	Textual	Dissertação	Digital	Ciências da Educação	estratégias nas escolhas escolares; concorrência por vagas; escola pública de excelência.	2017	São João del-Rei (UFSJ)	Investiga as estratégias desenvolvidas por famílias de diferentes classes sociais para a escolha de um estabelecimento de ensino para o ingresso dos filhos nos anos iniciais do ensino fundamental.	Gabriel Menezes Viana; Marcelo Pereira de Andrade	2011-2016	São João del- Rei	Fábricas, Jardim Central/Caieiras, Bela Vista, Araçá, São Geraldo, Vila Belizário, Dom Bosco, Matozinhos e Centro	https://drive.google.com/file/d/1-y9QksNt1134wgfMjQGqai316Jq7hxQm/view?usp=sharing
3	A CIDADE DE SÃO JOÃO DEL-REI NAS ENTRELINHAS DOS MANUSCRITOS DO TEATRO DE REVISTA NA BELLE ÉPOQUE: Um testemunho da História Cultural são-joanense	Cláudio José Guilarduci	Textual	Dissertação	Digital	Teatro	-	2009	Rio de Janeiro (UNI-RIO)	Visa compreender a representação social do espaço urbano de São João del-Rei no período da Belle Époque, a partir da análise de cinco peças de teatro de revista escritas por são-joanenses e encenadas na cidade, entre os anos de 1893 e 1918.	Evelyn Furquim Werneck Lima	1893-1918; início do séc. XX	São João del-Rei	-	https://drive.google.com/file/d/1ZJNPmB4ubwmOLwPX0_Msm97J5c43IlYI/view?usp=sharing
4	A CONSTRUÇÃO DE TERRITÓRIOS URBANOS DE POPULAÇÕES DE BAIXA RENDA EM SÃO JOÃO DEL-REI - MG: CONJUNTOS HABITACIONAIS DO IAPI E SEUS ENTORNOS	 Luiz Raimundo Tadeu da Silva	Textual	Artigo	Digital	Filosofia	desigualdade ambiental; conflitos ambientais; construção de territórios  urbanos	2007	São João del-Rei  (UFSJ)	O trabalho objetiva a reconstrução analítica do processo de construção histórica dos territórios hoje designados conjuntos habitacionais IAPI/JK, IAPI/Matosinhos e Praça Pedro Paulo, considerando essa construção como parte das estratégias empreendidas pelas elites econômicas e políticas da cidade, entre as décadas de 1940 e 1960, a fim de obter ganhos rentistas, políticos e aqueles derivados do controle e segregação espacial da força de trabalho (HARVEY, 1982).	Eder Jurandir Carneiro	1940-1960	São João del- Rei	Matosinhos, Fábricas	https://drive.google.com/file/d/1lE5YqzbmD_KZhii10nP41gEQySvCSTHX/view?usp=sharing
5	A CONSTRUÇÃO SOCIAL DE TERRITÓRIOS URBANOS DE CLASSES POPULARES: O CASO DA VILA NOSSA SENHORA DE FÁTIMA (SÃO JOÃO DEL-REI – MG)	 Luiz Raimundo Tadeu da Silva	Textual	Artigo	Digital	Filosofia	-	2006	São João del-Rei  (UFSJ)	Objetiva a reconstrução analítica da história sócio-ambiental do território hoje ocupado pela vila Nossa Senhora de Fátima, em São João del-Rei. Para isso, investigam-se aqui os processos sócio-históricos e mecanismos de injustiça ambiental, assim como as práticas, conflitos e agentes que determinaram as atuais formas de apropriação do território.	Eder Jurandir Carneiro	séc XIX - 2005	São João del- Rei	Nossa Senhora de Fátima	https://drive.google.com/file/d/10_NhyQjDfzVWFKKP9vtqFbgtEWMKoAgT/view?usp=sharing
6	A ESTRADA DE FERRO OESTE DE MINAS: SÃO JOÃO DEL-REI (1877-1898)	Welber Luiz dos Santos	Textual	Dissertação	Digital	 (História; Ciências Humanas e Sociais)	mercado interno; Minas Gerais; ferrovia; São João del-Rei; oeste de Minas	2009	Mariana (UFOP)	O mercado interno vem sendo objeto de pesquisas históricas já há alguns anos. A Estrada de Ferro Oeste de Minas, criada, em parte,com o capital mercantil acumulado pela elite são-joanense, é parte de um projeto mais amplo de integração das regiões do Império à Corte.O abastecimento do Rio de Janeiro com a produção agro-pastoril do oeste de Minas, intermediado pelos negociantes de São João del-Rei, se nos apresenta como o objeto de análise dentro do contexto do surto ferroviário brasileiro do século XIX. Surto este que, em nosso entendimento, ultrapassou a lógica ferrovia/agroexportação. A intervenção do Estado foi fundamental para a existência da companhia, bem como a participação de alguns indivíduos que se destacaram na sociedade são-joanense do final do século XIX, parte deles herdeiros de negociantes que dominavam as relações mercantis entre Minas Gerais e Rio de Janeiro no decorrer do mesmo século.	Andréa Lisly Gonçalves	1877-1898	São João del- Rei	-	https://drive.google.com/file/d/1DBgTRyX8chEEsdjd7-RF9h5EQk5z3MjU/view?usp=sharing
7	A ESTRADA REAL NOS CENÁRIOS ARQUEOLÓGICO, COLONIAL E CONTEMPORÂNEO: CONSTRUÇÕES E RECONSTRUÇÕES HISTÓRICO-CULTURAIS DE UM CAMINHO.	Cristiano Lima Sales 	Textual	Dissertação	Digital	História	estrada real; arte rupestre; índios; Minas Gerais; turismo	2012	São João del-Rei  (UFSJ)	Aborda processos de construção e reconstrução pelos quais passou a paisagem cortada pela Estrada Real em três períodos distintos. Na primeira parte está em foco o período colonial, época à qual a historiografia comumente se refere para falar do surgimento das estradas reais. Na segunda parte recuo no tempo, chegando a mais de 8.000 anos atrás para mostrar que os caminhos reais têm uma ancestralidade alicerçada na construção remota da paisagem que eles cortam. Na terceira parte, encaminhando o texto para seu fechamento, procuro levantar discussões sobre os usos e apropriações contemporâneas desse patrimônio.	Maria Leônia Chaves de Resende	período colonial - contemporâneo	Estrada real	-	https://drive.google.com/file/d/1QakBCYbLkytzpoqR7NcBkpVpGvbRRmVK/view?usp=sharing
8	A ESTRATÉGIA DO PROGRAMA SAÚDE DA FAMÍLIA SOB A ÓTICA DO FINANCIAMENTO FEDERAL: UM ESTUDO DE CASO NO MUNICÍPIO DE SÃO JOÃO DEL REI	Fábio Rodrigo de Deus; Marcos Paulo de Sá Mello; Caio Rodrigues do Vale; Romana Toussaint de Paula 	Textual	Artigo	Digital	Ciências Contábeis	contabilidade;  setor público; financiamento; saúde da família; SUS	2014	Brasília (UFBA)	O objetivo deste trabalho é verificar se os recursos transferidos pelo Governo Federal são suficientes para o efetivo custeio da Estratégia de Saúde da Família no Município de São João del-Rei nos exercícios 2011 e 2012.	-	2011-2012	São João del- Rei	-	https://drive.google.com/file/d/1Uc3gIjC9budvAY8XxYOxpRNsBi5SzmqQ/view?usp=sharing
9	A EXPANSÃO DO TERRITÓRIO URBANO E SÃO JOÃO DEL-REI/MG: A CRIAÇÃO/ DESTRUIÇÃO DE GEOGRAFIAS DA ESPERANÇA	Bruno Henrique dos Santos	Textual	Artigo	Digital	Geografia	 produção/(re)produção  do  espaço  urbano;  território fragmentação	2016	João Pessoa (UFPB)	Aborda sobre as transformações ocorridas no espaço urbano de São João del  Rei/MG  durante  o  longo  período  de  trezentos  anos  de  sua  história. Identificamos e classificamos o uso do solo urbano, os problemas para a região e os  agentes  sociais  que  comandaram  esse  processo	Lígia Maria Brochado de Aguiar	séc. XVIII - 2016	São João del- Rei	-	https://drive.google.com/file/d/1W8wDzK2grfo1iYy3GncCNXiD7o2m6mX5/view?usp=sharing
